행정구,법정동,업종,이름,도로명주소,,
성북구,수유동,노인의료복지시설,둥지요양원,서울특별시 성북구 오패산로 49 2층 1호 (하월곡동),,
강북구,수유동,노인의료복지시설,가족사랑요양원,서울특별시 강북구 한천로 1108-1 2 3층 (수유동),,
강북구,수유동,노인의료복지시설,행복한노인요양원2,서울특별시 강북구 덕릉로46 2호 4층 (수유동),,
강북구,수유동,노인의료복지시설,행복한노인요양원1,서울특별시 강북구 덕릉로46 2호 2층 (수유동),,
노원구,상계동,노인의료복지시설,가온요양원,서울특별시 노원구 노원로479 5층 (상계동 대광빌딩),,
중랑구,망우동,노인의료복지시설,우리가족요양원 2호점,서울특별시 중랑구 용마산로 488 5층 (망우동 유진빌딩),,
중랑구,망우동,노인의료복지시설,우리가족요양원 1호점,서울특별시 중랑구 용마산로 488 6층 (망우동 유진빌딩),,
서대문구,북가좌동,노인의료복지시설,효드림요양원,서울특별시 서대문구 응암로 62-0 (북가좌동)62 4~7층 (북가좌동),,
강서구,가양동,노인의료복지시설,성심노인요양원,서울특별시 강서구 강서로74길36 4층 (가양동 서령빌딩),,
관악구,신림동,노인의료복지시설,은빛요양원 II,서울특별시 관악구 신림로 134-0 (신림동)134 5층 (신림동 오성빌딩),,
관악구,신림동,노인의료복지시설,은빛요양원,서울특별시 관악구 신림로 134 4층 (신림동 오성빌딩),,
금천구,독산동,노인의료복지시설,실버캐슬요양원,서울특별시 금천구 시흥대로139길 14 (독산동),,
금천구,독산동,노인의료복지시설,실버캐슬 그룹홈,서울특별시 금천구 시흥대로139길 14 (독산동),,
관악구,신림동,노인의료복지시설,다원요양원,서울특별시 관악구 조원중앙로 24 3층 (신림동 우진빌딩),,
관악구,신림동,노인의료복지시설,다원요양센터,서울특별시 관악구 조원중앙로 24 5층 (신림동 우진빌딩),,
중랑구,면목동,노인의료복지시설,영지요양원,서울특별시 중랑구 봉우재로 47 (면목동),,
양천구,신월동,노인의료복지시설,신월실버요양원,서울특별시 양천구 곰달래로 30 (신월동),,
중랑구,망우동,노인의료복지시설,평강요양원,서울특별시 중랑구 용마산로112길90 3층 (망우동 성공빌딩),,
성북구,하월곡동,노인의료복지시설,한솔요양원,서울특별시 성북구 오패산로10길 30 4층 401호 (하월곡동),,
동대문구,답십리동,노인의료복지시설,도우누리편안한요양원,서울특별시 동대문구 한천로37길19 A동 5층 (답십리동 창승빌딩),,
도봉구,쌍문동,노인의료복지시설,쌍문늘푸른요양원,서울특별시 도봉구 해등로26길7 쌍문동 501호 (쌍문동),,
금천구,영재빌딩,노인의료복지시설,사랑가득 요양원,서울특별시 금천구 독산로194 (독산동 영재빌딩),,
중랑구,신내동,노인의료복지시설,가천요양원,서울특별시 중랑구 신내로14길13 4층 (신내동),,
관악구,신림동,노인의료복지시설,서울숲요양원,서울특별시 관악구 난향7길 68 (신림동),,
동작구,사당동,노인의료복지시설,나이팅게일너싱홈,서울특별시 동작구 남부순환로255길8 13층 101301호 (사당동 장미빌라),,
구로구,구로동,노인의료복지시설,늘봄시니어케어센터,서울특별시 구로구 새말로 38-12 (구로동),,
도봉구,쌍문동,노인의료복지시설,도봉하루요양원2호점,서울특별시 도봉구 방학로3길 103 (쌍문동) 춘광빌딩 5~6층,,
도봉구,쌍문동,노인의료복지시설,도봉하루요양원1호점,서울특별시 도봉구 방학로3길 103 (쌍문동),,
강동구,길동,노인의료복지시설,마더노인요양센터,서울특별시 강동구 명일로 230 2층 (길동),,
중랑구,상봉동,노인의료복지시설,엘림요양원,서울특별시 중랑구 봉우재로 79 3층 (상봉동 화성빌딩),,
용산구,원효로2가,노인의료복지시설,닥터참사랑요양원,서울특별시 용산구 원효로 155 3~5층 (원효로2가),,
성북구,보문동2가,노인의료복지시설,우리엄마요양원,서울특별시 성북구 보문로 123 3층 (보문동2가),,
강서구,등촌동,노인의료복지시설,한가람요양원,서울특별시 강서구 등촌로 183 4층 (등촌동),,
양천구,신월동,노인의료복지시설,실버캐슬요양타운,서울특별시 양천구 신월로 107 (신월동),,
중랑구,망우동,노인의료복지시설,정원요양원,서울특별시 중랑구 용마산로112길 90 4층 (망우동),,
송파구,마천동,노인의료복지시설,경복궁요양센터,서울특별시 송파구 성내천로47길 40 (마천동),,
광진구,중곡동,노인의료복지시설,중곡요양원,서울특별시 광진구 면목로 203 3층 (중곡동),,
성북구,돈암동,노인의료복지시설,다애요양원,서울특별시 성북구 성북로4길 52 한진아파트스포츠센터동 지하2층 53055306호 (돈암동),,
노원구,상계동,노인의료복지시설,사랑과섬김요양원,서울특별시 노원구 한글비석로 4225층 (상계동),,
도봉구,방학동,노인의료복지시설,강북재활요양원2호점,서울특별시 도봉구 도봉로 669 601호 (방학동),,
도봉구,방학동,노인의료복지시설,강북재활요양원,서울특별시 도봉구 도봉로 669 601호 (방학동),,
금천구,시흥동,노인의료복지시설,가족사랑요양원,서울특별시 금천구 시흥대로 214 10층 (시흥동),,
도봉구,도봉동,노인의료복지시설,큰사랑요양원,서울특별시 도봉구 도봉로180길 46 5층 (도봉동),,
강서구,화곡동,노인의료복지시설,행복마지요양원,서울특별시 강서구 강서로12길 8-8 12층 (화곡동 근상프리즘주상복합아파트),,
도봉구,도봉동,노인의료복지시설,청춘요양원,서울특별시 도봉구 도봉로180길 46 4층 (도봉동),,
도봉구,도봉동,노인의료복지시설,은나무요양원,서울특별시 도봉구 도봉로180나길 48-0 (도봉동)46 6층 (도봉동),,
도봉구,도봉동,노인의료복지시설,행복요양원,서울특별시 도봉구 도봉로180길 46 2층 (도봉동),,
노원구,상계동,노인의료복지시설,상계요양원,서울특별시 노원구 동일로242바길 27 (상계동),,
강서구,등촌동,노인의료복지시설,새마음요양원,서울특별시 강서구 공항대로41길 34 3층 (등촌동),,
강서구,등촌동,노인의료복지시설,희망요양원,서울특별시 강서구 공항대로41길 34 3층 (등촌동),,
도봉구,도봉동,노인의료복지시설,미소사랑요양원,서울특별시 도봉구 도봉로180길 46 3층 (도봉동),,
도봉구,창동,노인의료복지시설,선한노인전문요양원,서울특별시 도봉구 덕릉로62길 52-6 (창동)52-6 (창동),,
도봉구,도봉동,노인의료복지시설,효심요양원,서울특별시 도봉구 도봉로180길 46 7층 (도봉동),,
강북구,미아동,노인의료복지시설,가족사랑노인요양센터,서울특별시 강북구 월계로 75 4층 (미아동 동구빌딩),,
노원구,상계동,노인의료복지시설,효누리요양원,서울특별시 노원구 한글비석로 422 3층 (상계동),,
중랑구,상봉동,노인의료복지시설,다애요양원,서울특별시 중랑구 망우로262 2층 (상봉동),,
강북구,수유동,노인의료복지시설,행복한노인요양원3,서울특별시 강북구 덕릉로 46 2 4층 (수유동 신우빌딩),,
강남구,자곡동,노인의료복지시설,더시그넘하우스 너싱홈,서울특별시 강남구 자곡로 204-25 (자곡동),,
도봉구,방학동,노인의료복지시설,강북실버요양원2호점,서울특별시 도봉구 도봉로669 201동 (방학동 이정빌딩),,
동대문구,답십리동,노인의료복지시설,소망요양원,서울특별시 동대문구 한천로37길 19 4층 (답십리동),,
도봉구,방학동,노인의료복지시설,강북실버요양원,서울특별시 도봉구 도봉로669 201호 (방학동 이정빌딩),,
강서구,화곡동,노인의료복지시설,솔요양원,서울특별시 강서구 강서로17길 25 (화곡동 3층),,
강서구,화곡동,노인의료복지시설,푸른요양원,서울특별시 강서구 강서로17길 25 (화곡동 3층),,
강북구,수유동,노인의료복지시설,푸른요양원2호점,서울특별시 강북구 도봉로81길 43 지15~8층 (수유동),,
강서구,화곡동,노인의료복지시설,푸른솔요양원,서울특별시 강서구 강서로17길 25 (화곡동 3층),,
도봉구,방학동,노인의료복지시설,큰사랑노인요양원,서울특별시 도봉구 도봉로152길26 7층 (방학동 렉시온프라자),,
관악구,신림동,노인의료복지시설,중앙요양원,서울특별시 관악구 남부순환로 1432-7 501호 (신림동),,
도봉구,쌍문동,노인의료복지시설,도봉하루요양원3호점,서울특별시 도봉구 방학로3길103 56층 (쌍문동),,
도봉구,방학동,노인의료복지시설,강북요양원,서울특별시 도봉구 도봉로 669-0 (방학동)669 5층 501호 (방학동 이정빌딩),이정빌딩),
도봉구,방학동,노인의료복지시설,강북요양원2호점,서울특별시 도봉구 도봉로 669-0 (방학동),,
중랑구,중화동,노인의료복지시설,효심요양원2호,서울특별시 중랑구 망우로 171 4층 (중화동),,
중랑구,중화동,노인의료복지시설,효심요양원1호,서울특별시 중랑구 망우로 171 4층 (중화동),,
서대문구,북가좌동,노인의료복지시설,행복가득요양원,서울특별시 서대문구 거북골로 202-2 (북가좌동),,
강남구,개포동,노인의료복지시설,한마음실버빌,서울특별시 강남구 논현로12길 19-4 2~3층 (개포동),,
서대문구,북가좌동,노인의료복지시설,장수노인요양공동생활가정,서울특별시 서대문구 응암로 145 (북가좌동),,
동대문구,제기동,노인의료복지시설,경동노인요양원2,서울특별시 동대문구 약령시로 122-5 1~3층 (제기동),,
동대문구,제기동,노인의료복지시설,경동노인요양원,서울특별시 동대문구 약령시로 122-5 4~6층 (제기동),,
금천구,독산동,노인의료복지시설,시니어실버타운2,서울특별시 금천구 독산로 217 5층 (독산동),,
금천구,독산동,노인의료복지시설,시니어실버타운1,서울특별시 금천구 독산로217 4층 (독산동),,
노원구,상계동,노인의료복지시설,러빙케어,서울특별시 노원구 상계로1길 54-4 207 307호 (상계동 상계동센트럴타워),,
도봉구,창동,노인의료복지시설,사랑재활요양원3호점,서울특별시 도봉구 덕릉로59아길 54 (창동 이순빌딩 34층),,
도봉구,도봉동,노인의료복지시설,서울행복한요양원,서울특별시 도봉구 마들로 664-11 601호 (도봉동),,
관악구,신림동,노인의료복지시설,나은요양원,서울특별시 관악구 호암로 401 5층 (신림동),,
강북구,수유동,노인의료복지시설,길재활요양원,서울특별시 강북구 인수봉로 225 (수유동),,
성북구,정릉동,노인의료복지시설,정진요양원,서울특별시 성북구 서경로 110 2-5층 (정릉동 정진빌딩),,
광진구,자양동,노인의료복지시설,광진늘푸른요양원,서울특별시 광진구 뚝섬로 613 6층 (자양동),,
동대문구,제기동,노인의료복지시설,효림요양원,서울특별시 동대문구 고산자로 476 3층 (제기동),,
동대문구,제기동,노인의료복지시설,경동효림요양원,서울특별시 동대문구 고산자로 476 4층 (제기동),,
금천구,가산동,노인의료복지시설,하나요양원,서울특별시 금천구 시흥대로153길 99 478층 (가산동),,
강동구,길동,노인의료복지시설,정원실버요양원 2호점,서울특별시 강동구 양재대로124길 41 3층 (길동 성원빌딩),,
강동구,길동,노인의료복지시설,정원실버요양원,서울특별시 강동구 양재대로124길 41 4층 (길동),,
양천구,신월동,노인의료복지시설,올리사랑 요양원,서울특별시 양천구 신월로 191 (신월동 정세빌딩 3.4.5 층),,
성북구,정릉동,노인의료복지시설,정릉노인요양원,서울특별시 성북구 정릉로12길 69 (정릉동),,
관악구,신림동,노인의료복지시설,나눔요양원,서울특별시 관악구 남부순환로 1468-0 (신림동)1468 4층 (신림동),,
관악구,봉천동,노인의료복지시설,효사랑요양원,서울특별시 관악구 관악로 111 3층 (봉천동),,
관악구,신림동,노인의료복지시설,신림요양원,서울특별시 관악구 난곡로 272 2층 (신림동),,
동대문구,제기동,노인의료복지시설,동대문효림요양원,서울특별시 동대문구 고산자로 476 3층 (제기동),,
동대문구,제기동,노인의료복지시설,제기동효림요양원,서울특별시 동대문구 고산자로 476 4층 (제기동),,
동대문구,제기동,노인의료복지시설,서울팔팔요양원,서울특별시 동대문구 고산자로 476 5층 (제기동),,
동대문구,제기동,노인의료복지시설,서울백세요양원,서울특별시 동대문구 고산자로 476 5층 (제기동),,
구로구,고척동,노인의료복지시설,그린케어요양센터,서울특별시 구로구 중앙로 60 67층 (고척동 강산메디칼프라자),,
노원구,상계동,노인의료복지시설,노원행복한요양원,서울특별시 노원구 한글비석로47길 58 4층 (상계동),,
노원구,상계동,노인의료복지시설,행복한요양원,서울특별시 노원구 한글비석로47길 58 3층 (상계동),,
서대문구,연희동,노인의료복지시설,성산100세노인요양공동생활가정 1관,서울특별시 서대문구 증가로 55 (연희동),,
금천구,독산동,노인의료복지시설,금천햇살요양원,서울특별시 금천구 시흥대로 487 독산1동 2층 (독산동),,
강북구,수유동,노인의료복지시설,강북효심요양원1,서울특별시 강북구 삼양로77가길 9 4층 (수유동),,
강북구,수유동,노인의료복지시설,강북효심요양원2,서울특별시 강북구 삼양로77가길 9 2지하1층 (수유동),,
영등포구,대림동,노인의료복지시설,은빛사랑1,서울특별시 영등포구 디지털로 392 5층(대림동 정성빌딩)5층 (대림동 정성빌딩),,
영등포구,대림동,노인의료복지시설,은빛사랑2,서울특별시 영등포구 디지털로 392 (대림동. 정성빌딩)5층,,
영등포구,대림동,노인의료복지시설,은빛사랑3,서울특별시 영등포구 디지털로 392 6층 (대림동 정성빌딩)6층 (대림동 정성빌딩),정성빌딩),
강북구,수유동,노인의료복지시설,가인요양원,서울특별시 강북구 삼양로 437 2층 (수유동 성아빌딩),,
양천구,목동,노인의료복지시설,하늘정원 요양원,서울특별시 양천구 등촌로 32 8층 (목동 태영프라자),,
동대문구,제기동,노인의료복지시설,정든요양원,서울특별시 동대문구 제기로 72 4층 (제기동),,
강북구,수유동,노인의료복지시설,강북유진복지센터,서울특별시 강북구 삼양로77가길 9 5층 (수유동),,
서대문구,홍제동,노인의료복지시설,노인요양시설 하늘정원실버케어,서울특별시 서대문구 홍제내길48 (홍제동),,
강동구,둔촌동,노인의료복지시설,강동힐링요양원,서울특별시 강동구 천호대로 1240-9 (둔촌동),,
은평구,신사동,노인의료복지시설,가온실버케어,서울특별시 은평구 가좌로306 4층 (신사동),,
강서구,화곡동,노인의료복지시설,가족사랑노인요양원,서울특별시 강서구 곰달래로 97 2층 (화곡동 BS타운),,
양천구,신정동,노인의료복지시설,목동평강 요양원,서울특별시 양천구 은행정로5 6층 (신정동 에벤에셀프라자),,
강남구,개포동,노인의료복지시설,한마음요양원,서울특별시 강남구 논현로12길 19-4 2~3층 (개포동),,
종로구,이화동,노인의료복지시설,엠더블유(공생) 요양원,서울특별시 종로구 율곡로17길 7-38 6층 (이화동),,
금천구,독산동,노인의료복지시설,강남가정요양원4,서울특별시 금천구 독산로 290 4층 (독산동),,
금천구,독산동,노인의료복지시설,강남가정요양원3,서울특별시 금천구 독산로 290 3층 (독산동),,
동작구,상도동,노인의료복지시설,신상도요양원,서울특별시 동작구 양녕로20길 108 (상도동),,
구로구,구로동,노인의료복지시설,소망요양원1,서울특별시 구로구 구로동로28길 87 2층 (구로동),,
구로구,구로동,노인의료복지시설,소망요양원2,서울특별시 구로구 구로동로28길 87 2층 (구로동),,
강서구,내발산동,노인의료복지시설,늘푸른요양원,서울특별시 강서구 수명로 80 6층 7층 (내발산동 베스트프라자),,
성북구,보문동2가,노인의료복지시설,우리엄마요양원 2호점,서울특별시 성북구 보문로123 4 2층 (보문동2가),,
노원구,상계동,노인의료복지시설,성모요양원,서울특별시 노원구 노원로 479 3층 (상계동),,
도봉구,창동,노인의료복지시설,실버빌요양원,서울특별시 도봉구 노해로277 (창동),,
송파구,장지동,노인의료복지시설,KB골든라이프케어 위례 빌리지,서울특별시 송파구 위례광장로 220 (장지동),,
중랑구,면목동,노인의료복지시설,사랑채요양원,서울특별시 중랑구 면목로 220 2층 (면목동 학림빌딩),,
양천구,신월동,노인의료복지시설,늘푸른 소망요양원,서울특별시 양천구 지양로 29 234층 (신월동 오윤빌딩),,
도봉구,창동,노인의료복지시설,참존vip요양원,서울특별시 도봉구 도봉로136가길 4 4층 (창동 창동리더스빌딩),,
강동구,명일동,노인의료복지시설,(A )강동포도나무요양원 2호점,서울특별시 강동구 상암로 195 2층 203호 (명일동),,
강동구,명일동,노인의료복지시설,(A )강동포도나무요양원 1호점,서울특별시 강동구 상암로 195 2층 201호 (명일동),,
강동구,천호동,노인의료복지시설,강동천호실버센터1호,서울특별시 강동구 올림픽로664 3층 331호 (천호동 대우 한강 베네시티),베네시티),
강동구,천호동,노인의료복지시설,강동천호실버센터2호,서울특별시 강동구 올림픽로 664 3층 332호 (천호동 대우 한강 베네시티),한강,베네시티)
노원구,상계동,노인의료복지시설,늘봄요양원,서울특별시 노원구 한글비석로47길 58 2층 (상계동),,
은평구,갈현동,노인의료복지시설,은평실버랜드요양원,서울특별시 은평구 연서로21길27-20 (갈현동),,
동대문구,제기동,노인의료복지시설,평화요양원,서울특별시 동대문구 제기로 72 3층 (제기동),,
관악구,신림동,노인의료복지시설,당신의 의자 요양원,서울특별시 관악구 난곡로10길 10 (신림동),,
서대문구,연희동,노인의료복지시설,성산100세노인요양공동생활가정 2관,서울특별시 서대문구 증가로 55 (연희동),,
광진구,구의동,노인의료복지시설,강변케어센터,서울특별시 광진구 구의강변로 35 6층 (구의동),,
광진구,구의동,노인의료복지시설,강변케어센터2,서울특별시 광진구 구의강변로 35 6층 (구의동),,
도봉구,쌍문동,노인의료복지시설,기쁨과나눔노인요양원,서울특별시 도봉구 도봉로137길 48 2층 (쌍문동),,
도봉구,쌍문동,노인의료복지시설,기쁨과나눔노인요양원2호점,서울특별시 도봉구 도봉로137길 48 2층 (쌍문동),,
금천구,시흥동,노인의료복지시설,이삭요양원,서울특별시 금천구 시흥대로 214 (시흥동),,
강북구,수유동,노인의료복지시설,북부성모요양원,서울특별시 강북구 한천로 1152 (수유동 수유빌딩 3층),,
도봉구,방학동,노인의료복지시설,A플러스노아재활요양원,서울특별시 도봉구 마들로 649-20 6층 (방학동 메인프라자),,
동대문구,답십리동,노인의료복지시설,미소지움요양원,서울특별시 동대문구 한천로37길 19 3층 (답십리동 창승빌딩),,
관악구,신림동,노인의료복지시설,난향요양원1,서울특별시 관악구 남부순환로 1470 3층 (신림동),,
관악구,신림동,노인의료복지시설,난향요양원2,서울특별시 관악구 남부순환로 1470 4층 (신림동),,
구로구,개봉동,노인의료복지시설,강이보이는요양원,서울특별시 구로구 개봉로 4 5층 (개봉동),,
광진구,중곡동,노인의료복지시설,노블레스요양원2,서울특별시 광진구 용마산로 105 2층 (중곡동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료실버타운,서울특별시 영등포구 도림로 323 2층 203 205호 (신길동 건영상가),건영상가),
광진구,광장동,노인의료복지시설,워커힐케어센터1,서울특별시 광진구 아차산로 634 6 7층 (광장동 대오빌딩),,
광진구,광장동,노인의료복지시설,워커힐케어센터2,서울특별시 광진구 아차산로 634 5층 (광장동 대오빌딩),,
관악구,신림동,노인의료복지시설,은빛요양원1,서울특별시 관악구 신림로 134 4층 (신림동 오성빌딩),,
관악구,신림동,노인의료복지시설,은빛요양원Ⅱ,서울특별시 관악구 신림로 134 5층 (신림동 오성빌딩),,
광진구,중곡동,노인의료복지시설,노블레스요양원1,서울특별시 광진구 용마산로 105 3층 (중곡동 광진빌딩),,
노원구,상계동,노인의료복지시설,노블레스요양원,서울특별시 노원구 노원로 479 2층 (상계동),,
관악구,신림동,노인의료복지시설,신림요양원2,서울특별시 관악구 난곡로 272 3층 (신림동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료복지센터1,서울특별시 영등포구 도림로 318 4층 (신길동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료복지센터2,서울특별시 영등포구 도림로 318 5층 (신길동),,
중랑구,면목동,노인의료복지시설,조은노인요양센터,서울특별시 중랑구 상봉로 7 3층 (면목동 서일타운),,
중랑구,묵동,노인의료복지시설,골든시니어케어센터,서울특별시 중랑구 동일로 917-4 (묵동),,
강북구,수유동,노인의료복지시설,강북하루정요양원,서울특별시 강북구 삼양로 433 5층 (수유동),,
도봉구,도봉동,노인의료복지시설,굿모닝요양원2호점,서울특별시 도봉구 도봉로 765 4층 (도봉동),,
도봉구,도봉동,노인의료복지시설,굿모닝요양원,서울특별시 도봉구 도봉로 765 2층 (도봉동),,
은평구,신사동,노인의료복지시설,실비아요양원,서울특별시 은평구 증산로15길 35-8 상가11동 (신사동 101201301호),,
관악구,신림동,노인의료복지시설,관악실버케어,서울특별시 관악구 대학18길 34-7 (신림동),,
관악구,신림동,노인의료복지시설,명지요양원,서울특별시 관악구 난곡로 316 6층 (신림동 진성타워),,
구로구,고척동,노인의료복지시설,보라매요양원,서울특별시 구로구 목동남로 32 (고척동 보광빌딩 (B1 3467층)),,
중랑구,면목동,노인의료복지시설,A 평화요양원,서울특별시 중랑구 중랑천로52 (면목동),,
중랑구,망우동,노인의료복지시설,사랑요양원,서울특별시 중랑구 용마산로 494 (망우동),,
구로구,고척동,노인의료복지시설,메디치피아요양센터,서울특별시 구로구 중앙로 10-15 (고척동),,
구로구,궁동,노인의료복지시설,다원실버요양원,서울특별시 구로구 오리로 1289 2층 (궁동),,
중랑구,면목동,노인의료복지시설,중랑삼성 요양원,서울특별시 중랑구 동일로91가길 27 (면목동),,
관악구,신림동,노인의료복지시설,나눔요양원,서울특별시 관악구 남부순환로 1468 4층 (신림동),,
강북구,미아동,노인의료복지시설,강북중앙요양원,서울특별시 강북구 도봉로 243 3층 (미아동),,
동대문구,답십리동,노인의료복지시설,성창요양원,서울특별시 동대문구 한천로37길23 4층 (답십리동),,
동대문구,전농동,노인의료복지시설,보은노인요양공동생활가정,서울특별시 동대문구 한천로 213 4층 (전농동),,
강동구,암사동,노인의료복지시설,서울케어링하우스,서울특별시 강동구 올림픽로 831 (암사동),,
도봉구,쌍문동,노인의료복지시설,하루정요양센터,서울특별시 도봉구 해등로17길 42 4층 (쌍문동),,
동대문구,제기동,노인의료복지시설,우리집요양원,서울특별시 동대문구 제기로 72 2층 (제기동),,
중랑구,상봉동,노인의료복지시설,삼연요양원,서울특별시 중랑구 봉우재로 79 5층 (상봉동),,
중랑구,면목동,노인의료복지시설,존엄케어노인전문요양원,서울특별시 중랑구 용마산로51길 1 2층 (면목동),,
은평구,수색동,노인의료복지시설,사랑가득요양원1호,서울특별시 은평구 수색로14길 5-3 5층 (수색동),,
은평구,수색동,노인의료복지시설,사랑가득요양원2호,서울특별시 은평구 수색로14길 5-3 6층 (수색동),,
강북구,수유동,노인의료복지시설,참햇살요양원,서울특별시 강북구 도봉로403 2층 (수유동),,
강북구,수유동,노인의료복지시설,햇살요양원,서울특별시 강북구 도봉로 403 3층 (수유동),,
성북구,상월곡동,노인의료복지시설,늘푸른요양원,서울특별시 성북구 장월로1길60 (상월곡동),,
금천구,시흥동,노인의료복지시설,섬기는 실버하우스 요양원,서울특별시 금천구 시흥대로 214 11층 (시흥동),,
성북구,성북동,노인의료복지시설,성북힐요양원,서울특별시 성북구 성북로31가길 21 (성북동),,
금천구,독산동,노인의료복지시설,서울조은요양원,서울특별시 금천구 시흥대로152길 11-43 2층 (독산동),,
노원구,상계동,노인의료복지시설,서울실버케어노인요양원,서울특별시 노원구 한글비석로44길 312층3층 (상계동),,
중랑구,망우동,노인의료복지시설,동우너싱홈,서울특별시 중랑구 망우로 422 ,,
중랑구,중화동,노인의료복지시설,베스트그린요양원1호점,서울특별시 중랑구 동일로 789 그린프라자 6층,,
은평구,역촌동,노인의료복지시설,은평효실버요양원,서울특별시 은평구 연서로 17(역촌동),,
중랑구,신내동,노인의료복지시설,두레노인요양원,서울특별시 중랑구 신내로 45,,
송파구,마천동,노인의료복지시설,송파그린요양원,서울특별시 송파구 성내천로 208 신안빌딩 3층,,
서초구,반포동,노인의료복지시설,장생시니어타운,서울특별시 서초구 강남대로89길 10 (반포동 707-9),,
도봉구,도봉동,노인의료복지시설,행복드림요양원,서울특별시 도봉구 도봉로154길 23 신성빌딩 3층,,
송파구,마천동,노인의료복지시설,은빛노인요양공동생활가정2,서울특별시 송파구 거마로 99,,
광진구,구의동,노인의료복지시설,워커힐실버타운,서울특별시 광진구 워커힐로 93 (구의동),,
노원구,공릉동,노인의료복지시설,노원사랑요양원4,서울특별시 노원구 동일로174길 44 202호,,
양천구,신월동,노인의료복지시설,효담요양원,서울특별시 양천구 오목로 624층 (신월동),,
송파구,석촌동,노인의료복지시설,포도나무실버타운4호점,서울특별시 송파구 가락로 2 5층,,
송파구,석촌동,노인의료복지시설,포도나무실버타운3호점,서울특별시 송파구 가락로 2 5층,,
성북구,정릉동,노인의료복지시설,명성노인복지센터,서울특별시 성북구 보국문로4길 8,,
광진구,구의동,노인의료복지시설,광진원광실버센터,서울특별시 광진구 아차산로63길 35 (구의동),,
중랑구,망우동,노인의료복지시설,늘푸른요양원,서울특별시 중랑구 용마산로 488 유진빌딩 4층,,
양천구,신정동,노인의료복지시설,예덕효요양원,서울특별시 양천구 중앙로232 3층 (신정동),,
양천구,신정동,노인의료복지시설,정다운요양원,서울특별시 양천구 오목로 208 (신정동),,
중랑구,신내동,노인의료복지시설,두레노인요양원B,서울특별시 중랑구 신내로 45 해성빌딩 6층,,
관악구,신림동,노인의료복지시설,벧엘의집 요양원2,서울특별시 관악구 미성동96 2층 (신림동 미성빌딩),,
성동구,성수동2가,노인의료복지시설,서울숲재활요양원,서울특별시 성동구 뚝섬로 401-23층 (성수동2가),,
강북구,번동,노인의료복지시설,번동노인요양원,서울특별시 강북구 한천로105길24 202동 2층 (번동),,
성북구,동소문동7가,노인의료복지시설,성신노인요양원,서울특별시 성북구 동소문로13나길 110 (동소문동7가),,
강동구,천호동,노인의료복지시설,늘편한요양센터,서울특별시 강동구 구천면로318 4층 (천호동),,
중구,장충동2가,노인의료복지시설,구립중구노인요양센터,서울특별시 중구 필동로 96 (장충동2가),,
송파구,마천동,노인의료복지시설,송파그린요양원2,서울특별시 송파구 성내천로 208 신안빌딩 2층,,
서대문구,연희동,노인의료복지시설,연희시니어스,서울특별시 서대문구 연희로31길 8-7 (연희동),,
구로구,오류동,노인의료복지시설,행복요양원3,서울특별시 구로구 경인로23길 8,,
구로구,오류동,노인의료복지시설,행복요양원2,서울특별시 구로구 경인로23길 8,,
은평구,신사동,노인의료복지시설,써니요양원,서울특별시 은평구 증산로15길 26 (신사동),,
도봉구,쌍문동,노인의료복지시설,동그라미요양센터1호점,서울특별시 도봉구 쌍문동103 4층 (쌍문동 춘광빌딩),,
강동구,암사동,노인의료복지시설,황금나무너싱홈,서울특별시 강동구 고덕로27길33-27 101호 (암사동),,
관악구,신림동,노인의료복지시설,명지요양센터,서울특별시 관악구 난곡로316 6층 (신림동 진성타워(신사동)),,
광진구,자양동,노인의료복지시설,동부실버케어요양원,서울특별시 광진구 자양번영로 343층 (자양동),,
강동구,강일동,노인의료복지시설,대한연세요양원,서울특별시 강동구 고덕로 421 (강일동),,
금천구,독산동,노인의료복지시설,우리요양원,서울특별시 금천구 시흥대로 426-0426 영진빌딩 7층(독산동),,
노원구,상계동,노인의료복지시설,너싱홈돌봄과간호2,서울특별시 노원구 동일로 1550 고려프라자 601호,,
노원구,상계동,노인의료복지시설,너싱홈돌봄과간호1,서울특별시 노원구 동일로 1550 고려프라자 604호,,
도봉구,창동,노인의료복지시설,참존요양원,서울특별시 도봉구 도봉로136가길 4,,
강동구,암사동,노인의료복지시설,흰돌장기요양센터3호점,서울특별시 강동구 구천면로323 5층 (암사동 개나리프라자),,
강동구,암사동,노인의료복지시설,흰돌장기요양센터2호점,서울특별시 강동구 구천면로323 6층 (암사동 개나리프라자),,
강북구,미아동,노인의료복지시설,강북실버종합복지센터,서울특별시 강북구 오패산로 290 (미아동),,
노원구,상계동,노인의료복지시설,노원요양복지원,서울특별시 노원구 노원로 464 (상계동),,
도봉구,쌍문동,노인의료복지시설,동그라미요양센터2호점,서울특별시 도봉구 쌍문동103 3층 (쌍문동 춘광빌딩),,
송파구,마천동,노인의료복지시설,은빛노인요양공동생활가정3,서울특별시 송파구 거마로 99,,
송파구,마천동,노인의료복지시설,수실버노인요양센터,서울특별시 송파구 성내천로212 4층 (마천동),,
강서구,화곡동,노인의료복지시설,케어콜실버센터,서울특별시 강서구 강서로5나길 74 5층,,
