행정구,법정동,업종,이름,병상수,도로명전체주소
송파구,가락동,병원,뉴스타트병원,142,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)"
송파구,삼전동,병원,강남수병원,31,서울특별시 송파구 삼전로2길 11 (삼전동)
송파구,방이동,병원,포레힐요양병원,72,서울특별시 송파구 오금로 173 (방이동)
송파구,풍납동,병원,의료법인정애의료재단서울초이스병원,44,"서울특별시 송파구 올림픽로 579 (풍납동, 서울초이스병원)"
송파구,석촌동,병원,한솔병원,80,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)"
송파구,문정동,병원,인애가송파한방병원,31,"서울특별시 송파구 문정로 65, 인애가한방병원 1,2,5,6층 (문정동)"
송파구,풍납동,병원,재단법인아산사회복지재단 서울아산병원,2715,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)"
성북구,하월곡동,병원,사회복지법인 성가소비녀회 성가복지병원,72,서울특별시 성북구 종암로 191 (하월곡동)
성북구,안암동5가,병원,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1048,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)"
성북구,종암동,병원,성북서울요양병원,372,서울특별시 성북구 종암로 31 (종암동)
성북구,동선동4가,병원,더서울병원,58,서울특별시 성북구 아리랑로 16 (동선동4가)
성북구,보문동4가,병원,성북웰니스요양병원,189,서울특별시 성북구 보문로 86 (보문동4가)
성북구,정릉동,병원,새마음요양병원,182,서울특별시 성북구 동소문로 215 (정릉동)
성북구,길음동,병원,서울척병원,136,서울특별시 성북구 동소문로47길 8 (길음동)
성북구,장위3동,병원,의료법인유라의료재단 온누리요양병원,210,서울특별시 성북구 화랑로 271 (장위동)
구로구,개봉동,병원,의료법인 미소들노인전문병원,403,"서울특별시 구로구 고척로21나길 88-41 (개봉동, 미소들병원)"
구로구,개봉동,병원,강서효요양병원,89,"서울특별시 구로구 개봉로19길 3 (개봉동, 강서진료병원)"
구로구,가리봉동,병원,의료법인 어울림의료재단 정성요양병원,330,"서울특별시 구로구 남부순환로 1287, 정성요양병원 2.3.5층 남부순환로 107길 24동 (가리봉동)"
구로구,개봉동,병원,의료법인다나의료재단구로다나병원,191,"서울특별시 구로구 개봉로 126 (개봉동, 구로다나병원빌딩)"
구로구,고척동,병원,구로성심병원,200,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)"
구로구,구로동,병원,고려대학교의과대학부속구로병원,1075,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)"
구로구,고척동,병원,연세사랑모아여성병원,31,서울특별시 구로구 중앙로 100 (고척동)
구로구,구로동,병원,아름제일병원,97,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)"
구로구,구로동,병원,의료법인 우리아이들 의료재단 우리아이들병원,64,"서울특별시 구로구 새말로 15, 2~9층 (구로동, 삼전솔하임)"
구로구,오류동,병원,삼성미래여성병원,51,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)"
동작구,상도4동,병원,의료법인성석의료재단동작경희병원,122,서울특별시 동작구 상도로 146 (상도동)
동작구,신대방동,병원,서울특별시보라매병원,765,서울특별시 동작구 보라매로5길 20 (신대방동)
구로구,구로동,병원,재단법인 제중의료복지재단 제중요양병원,299,"서울특별시 구로구 새말로 60, 제중요양병원 지하2,동 1~9층 (구로동)"
구로구,구로동,병원,예스병원,58,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)"
구로구,구로동,병원,참튼튼병원,54,"서울특별시 구로구 시흥대로 547, 금강빌딩 지하1,2~10층(구로동), 디지털로32가길 25, 티타운빌딩 B102,103,205,206,302 (구로동)"
구로구,구로동,병원,의료법인 서울효천의료재단 에이치플러스요양병원,193,"서울특별시 구로구 공원로6가길 4, 고려 수 타워 (구로동)"
동작구,사당동,병원,내이처럼치과병원,0,"서울특별시 동작구 동작대로27다길 26, 2층 (사당동, 사당동 주상복합)"
동작구,신대방동,병원,기분좋은한방병원,50,"서울특별시 동작구 여의대방로22길 98, 1,2,3층 (신대방동)"
동작구,대방동,병원,의료법인덕수의료재단보라매요양병원,170,서울특별시 동작구 여의대방로 134 (대방동)
동작구,사당동,병원,연세바른병원,41,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)"
동작구,사당1동,병원,더본병원,42,서울특별시 동작구 동작대로 67 (사당동)
동작구,상도동,병원,서울요양병원,170,"서울특별시 동작구 성대로 43 (상도동, 우리빌딩)"
동작구,신대방동,병원,의료법인에이치엠피의료재단녹십초요양병원,187,서울특별시 동작구 시흥대로 634 (신대방동)
동작구,사당동,병원,따뜻한치과병원,0,"서울특별시 동작구 동작대로 13, 3층 (사당동)"
동작구,흑석동,병원,중앙대학교병원,803,서울특별시 동작구 흑석로 102 (흑석동)
동작구,상도1동,병원,정동병원,59,서울특별시 동작구 양녕로 283 (상도1동)
동작구,노량진동,병원,청화병원,53,서울특별시 동작구 장승배기로 108 (노량진동)
금천구,독산3동,병원,실버한방병원,237,서울특별시 금천구 독산로 362 (독산동)
금천구,시흥동,병원,희명병원,242,서울특별시 금천구 시흥대로 244 (시흥동)
금천구,독산동,병원,금천수요양병원,250,"서울특별시 금천구 남부순환로 1400, 2~9층 (독산동)"
금천구,시흥동,병원,서울대효병원,110,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)"
금천구,시흥1동,병원,녹십자요양병원,131,"서울특별시 금천구 시흥대로 202, 3,4층 (시흥동, 대의빌딩)"
금천구,독산동,병원,서울바른세상병원,114,"서울특별시 금천구 시흥대로 421 (독산동, 건국빌딩)"
금천구,독산동,병원,성신고려요양병원,89,서울특별시 금천구 범안로 1191 (독산동)
금천구,시흥1동,병원,뉴연세여성병원,31,서울특별시 금천구 시흥대로 239 (시흥동)
금천구,독산동,병원,새움병원,100,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)"
금천구,가산동,병원,성지병원,228,서울특별시 금천구 가산로 122 (가산동)
금천구,독산4동,병원,아카시아병원,41,서울특별시 금천구 시흥대로114길 5 (독산동)
금천구,독산3동,병원,구로한방병원,49,서울특별시 금천구 남부순환로 1398 (독산동)
강남구,논현동,병원,씨티칼리지요양병원,145,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ (논현동)"
양천구,신월동,병원,라온휴병원,66,"서울특별시 양천구 신월로 164, 8층 9층 (신월동, 승일뷰티타워)"
양천구,신정동,병원,목동연세요양병원,91,"서울특별시 양천구 목동로 189, 3~4층 (신정동)"
양천구,신정3동,병원,서울특별시서남병원,330,서울특별시 양천구 신정이펜1로 20 (신정동)
양천구,목1동,병원,재단법인자생의료재단목동자생한방병원,31,"서울특별시 양천구 신목로 102, 3,5,6층 (목동, 대경프라자)"
양천구,신정동,병원,목동중앙치과병원,0,"서울특별시 양천구 목동서로 285, 황금프라자 10층 (신정동)"
양천구,신정동,병원,양천효요양병원,77,"서울특별시 양천구 오목로 121 (신정동, 양천효요양병원)"
양천구,목동,병원,목동힘찬병원,199,"서울특별시 양천구 신목로 120 (목동, 힘찬병원)"
양천구,목1동,병원,의료법인해인의료재단 동신한방병원,98,"서울특별시 양천구 오목로 351, B2~6,8~9층 (목동)"
양천구,신정4동,병원,이엔이치과병원,0,서울특별시 양천구 신정중앙로 103 (신정동)
양천구,신월동,병원,메디힐병원,118,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)"
중구,충무로1가,병원,한누리치과병원,0,"서울특별시 중구 퇴계로 97, 3층 306호 (충무로1가, 고려대연각센터빌딩)"
양천구,신정동,병원,목동예치과병원,0,서울특별시 양천구 오목로 199 (신정동)
중구,명동1가,병원,라임나무치과병원,0,"서울특별시 중구 명동길 43, 7층 (명동1가, 신한은행)"
중구,신당동,병원,유치과병원,0,"서울특별시 중구 다산로 175, 3층 (신당동, 명덕빌딩)"
중구,신당동,병원,반도정형외과병원,30,서울특별시 중구 동호로 202 (신당동)
양천구,신정동,병원,목동제일여성병원,39,서울특별시 양천구 중앙로 300 (신정동)
양천구,신월동,병원,솔빛한방병원,68,서울특별시 양천구 신월로 151 (신월동)
금천구,시흥동,병원,경희리솜한방병원,61,"서울특별시 금천구 시흥대로79길 15, 리솜메디라이프 5~7층 (시흥동)"
강남구,역삼동,병원,서울페이스21치과병원,4,"서울특별시 강남구 강남대로 390, 미진프라자 21층 (역삼동)"
은평구,녹번동,병원,미올한방병원,52,"서울특별시 은평구 통일로 636, 은평 미드스퀘어 4,5층 (녹번동)"
송파구,거여동,병원,서울세계로병원,152,"서울특별시 송파구 위례서로 248, 5~12층 (거여동)"
강동구,명일동,병원,봄담한방병원,75,"서울특별시 강동구 양재대로 1596, 3~6층 (명일동)"
노원구,공릉동,병원,서울미르한방병원,52,"서울특별시 노원구 동일로197길 11, 공삼빌딩 2,3,4층 (공릉동)"
강남구,도곡동,병원,치휴한방병원,63,"서울특별시 강남구 도곡로 216, 치휴한방병원 (도곡동)"
관악구,봉천동,병원,장튼위튼병원,30,서울특별시 관악구 남부순환로 1867 (봉천동)
구로구,오류동,병원,더세인트요양병원,357,"서울특별시 구로구 경인로 218, 더세인트빌딩 B1.B중,3~15층 (오류동)"
강남구,논현동,병원,강남지인병원,30,"서울특별시 강남구 언주로 631, 지하2층,지상2층일부,3~6층 (논현동)"
강서구,등촌1동,병원,로고스치과병원,0,"서울특별시 강서구 공항대로 281, 3층 (등촌동)"
강서구,내발산동,병원,웰튼병원,40,"서울특별시 강서구 강서로 318, 웰튼병원 (내발산동)"
강서구,등촌동,병원,강서송도병원,51,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)"
강서구,화곡동,병원,참요양병원,229,서울특별시 강서구 강서로 182 (화곡동)
강서구,화곡동,병원,강서필병원,220,서울특별시 강서구 강서로17길 24 (화곡동)
강서구,내발산동,병원,미즈메디병원,100,서울특별시 강서구 강서로 295 (내발산동)
강서구,염창동,병원,핑크힐병원,30,서울특별시 강서구 양천로 712 (염창동)
강서구,화곡동,병원,더와이즈황병원,31,"서울특별시 강서구 까치산로 23, 더와이즈황병원 (화곡동)"
강서구,화곡동,병원,유광사여성병원,75,서울특별시 강서구 강서로 194 (화곡동)
강서구,등촌동,병원,실로암안과병원,51,"서울특별시 강서구 등촌로 181 (등촌동, 실로암안과병원)"
강서구,화곡동,병원,서울바로나치과병원,0,"서울특별시 강서구 화곡로 176-4, 5층 (화곡동)"
도봉구,쌍문동,병원,서울사랑요양병원,97,"서울특별시 도봉구 삼양로 574, 2~5층 (쌍문동)"
강북구,수유동,병원,신일병원,48,서울특별시 강북구 덕릉로 73 (수유동)
강북구,수유동,병원,의료법인성화의료재단  대한병원,201,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)"
관악구,신림동,병원,관악서울대학교치과병원,0,"서울특별시 관악구 관악로 1, 지1~3층 (신림동)"
관악구,신림동,병원,심정병원,99,"서울특별시 관악구 남부순환로 1485, 삼남빌딩 2~6층 (신림동)"
도봉구,방학동,병원,성모샘병원,174,"서울특별시 도봉구 도봉로 683, 5,6,7층 (방학동)"
도봉구,쌍문2동,병원,정병원,30,서울특별시 도봉구 도봉로 639 (쌍문동)
도봉구,창동,병원,의료법인 상원의료재단 강북힘찬병원,152,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)"
도봉구,창5동,병원,다나병원,199,서울특별시 도봉구 해등로 129 (창동)
강북구,번동,병원,경희치과병원,0,"서울특별시 강북구 도봉로 358 (번동, 코스타타워)"
강북구,미아동,병원,성신병원,72,서울특별시 강북구 도봉로 181 (미아동)
도봉구,쌍문동,병원,퍼스트요양병원,178,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)"
강서구,등촌동,병원,서울고든병원,88,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1,2,7,8,층 9,10호 (등촌동)"
강서구,방화동,병원,방화병원,30,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)"
강서구,과해동,병원,우리들병원,165,서울특별시 강서구 하늘길 70 (과해동)
강동구,천호동,병원,강동성모요양병원,349,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)"
강동구,상일동,병원,강동경희대학교치과병원,9,서울특별시 강동구 동남로 892 (상일동)
도봉구,방학동,병원,스카이요양병원,128,서울특별시 도봉구 방학로 177 (방학동)
도봉구,창동,병원,바로선병원,90,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)"
도봉구,쌍문동,병원,로덴성문치과병원,0,"서울특별시 도봉구 도봉로 569, 5층 (쌍문동, 준우빌딩)"
도봉구,방학3동,병원,경희늘푸른노인전문병원,160,서울특별시 도봉구 시루봉로 137 (방학동)
도봉구,방학동,병원,서울노보스병원,200,서울특별시 도봉구 도봉로 720 (방학동)
강서구,등촌동,병원,부민병원,299,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)"
강서구,등촌동,병원,강서힘찬병원,119,"서울특별시 강서구 강서로56길 38 (등촌동, 강서힘찬병원)"
강서구,내발산동,병원,서울대효병원,153,"서울특별시 강서구 강서로47가길 33, 덕산빌딩 2,3,4,5,6층 (내발산동)"
강서구,등촌동,병원,새빛요양병원,99,"서울특별시 강서구 화곡로61길 109, 천수빌딩 2,3,4,5층 (등촌동)"
강서구,화곡동,병원,의료법인 나누리병원,70,"서울특별시 강서구 가로공원로 187, 나누리강서병원 (화곡동)"
강서구,화곡동,병원,더와이즈치과병원,0,"서울특별시 강서구 화곡로 186, 1,2,3,4,5층 (화곡동, 세웅빌딩)"
강동구,성내동,병원,허리나은병원,42,서울특별시 강동구 천호대로 1012 (성내동)
강서구,방화동,병원,솔병원,49,"서울특별시 강서구 방화대로 352, 1~4층 (방화동)"
동대문구,장안동,병원,지혜병원,276,서울특별시 동대문구 천호대로 421 (장안동)
노원구,상계동,병원,노원 바로유 한방병원,53,"서울특별시 노원구 노원로 461, 2층 (상계동)"
노원구,상계동,병원,희망요양병원,87,서울특별시 노원구 상계로26길 7 (상계동)
노원구,중계동,병원,노원솔요양병원,149,"서울특별시 노원구 덕릉로 690, 기업은행 2,3,4,5층 (중계동)"
노원구,상계동,병원,재단법인자생의료재단노원자생한방병원,32,"서울특별시 노원구 노해로 507, 7,8층 (상계동, 와우쇼핑몰)"
노원구,상계동,병원,참튼튼병원,75,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)"
동대문구,장안동,병원,대한민국요양병원,170,"서울특별시 동대문구 장한로 200 (장안동, KS빌딩)"
관악구,봉천동,병원,은천요양병원,285,"서울특별시 관악구 은천로 51 (봉천동, 2,3,4,5,6층)"
동대문구,청량리동,병원,서울성심병원,250,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)"
관악구,봉천동,병원,미래드림여성병원,37,서울특별시 관악구 남부순환로 1785 (봉천동)
관악구,조원동,병원,서울본병원,94,"서울특별시 관악구 남부순환로 1449 (신림동, 서울본병원)"
관악구,신림동,병원,에이치플러스 양지병원,291,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)"
강서구,마곡동,병원,면력한방병원,99,"서울특별시 강서구 마곡중앙6로 93, 열린프라자 6,7,10층 602,603,604,605호 (마곡동)"
강서구,등촌동,병원,경희생생한방병원,64,"서울특별시 강서구 공항대로41길 34, 3.4층 (등촌동, 플러스존)"
강서구,방화동,병원,365강서수요양병원,165,"서울특별시 강서구 양천로 35, 1~6층 (방화동)"
강서구,화곡동,병원,강서수한방병원,52,"서울특별시 강서구 곰달래로 54, 백제빌딩 1~7층 (화곡동)"
강서구,화곡동,병원,새미래요양병원,195,서울특별시 강서구 국회대로 233 (화곡동)
동대문구,휘경2동,병원,삼육서울병원,431,서울특별시 동대문구 망우로 82 (휘경동)
동대문구,회기동,병원,경희대학교치과병원,20,"서울특별시 동대문구 경희대로 23 (회기동, 경희의료원)"
동대문구,회기동,병원,경희대학교병원,851,서울특별시 동대문구 경희대로 23 (회기동)
동대문구,회기동,병원,경희대학교한방병원,170,서울특별시 동대문구 경희대로 23 (회기동)
도봉구,쌍문동,병원,베이직병원,298,"서울특별시 도봉구 삼양로 610, 지하1층층 지상1,2,3,4호 (쌍문동, 산수디앤씨)"
동대문구,용두동,병원,서울에이스요양병원,229,서울특별시 동대문구 고산자로 379 (용두동)
동대문구,답십리동,병원,멘토스병원,273,서울특별시 동대문구 한천로 49 (답십리동)
동대문구,용두동,병원,왕십리휴요양병원,211,"서울특별시 동대문구 무학로 88 (용두동, 지하2~지상8층)"
동대문구,용두동,병원,서울명병원,286,서울특별시 동대문구 고산자로 421 (용두동)
동대문구,휘경2동,병원,삼육치과병원,6,서울특별시 동대문구 망우로 82 (휘경동)
강북구,미아동,병원,강북휴요양병원,170,"서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)"
강북구,번동,병원,북서울요양병원,142,"서울특별시 강북구 한천로 1002, 북서울요양병원 (번동)"
강북구,미아동,병원,서울좋은병원,37,서울특별시 강북구 도봉로 114 (미아동)
강북구,수유동,병원,강북우리들병원,83,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)"
강북구,번동,병원,서울현대병원,199,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)"
강북구,미아동,병원,포근한요양병원,139,서울특별시 강북구 도봉로 266 (미아동)
강북구,미아동,병원,효성요양병원,133,"서울특별시 강북구 삼양로 204 (미아동, 효성요양병원)"
강북구,미아동,병원,햇빛병원,60,서울특별시 강북구 도봉로 74 (미아동)
관악구,봉천동,병원,강남초이스병원,35,"서울특별시 관악구 남부순환로 1796, -1,2~5층 (봉천동, 삼호빌딩)"
노원구,상계동,병원,다인치과병원,0,"서울특별시 노원구 노해로 507, 5층 (상계동, 와우쇼핑몰)"
관악구,신림동,병원,강남수요양병원,175,"서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)"
관악구,봉천동,병원,연세건우병원,63,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)"
관악구,신림동,병원,조인트힐병원,32,서울특별시 관악구 난곡로 215 (신림동)
관악구,신림동,병원,척편한병원,90,"서울특별시 관악구 신림로 318, 4,5층 (신림동, 청암두산위브)"
강북구,인수동,병원,현인요양병원,41,서울특별시 강북구 삼각산로 20 (수유동)
강북구,미아동,병원,민병원,40,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)"
강동구,성내동,병원,의료법인일맥의료재단인애가한방병원,43,"서울특별시 강동구 성내로6길 15, 인애가한방병원 (성내동)"
강동구,명일동,병원,사랑플러스병원,75,서울특별시 강동구 양재대로 1580 (명일동)
강동구,천호동,병원,강동연세병원,32,서울특별시 강동구 올림픽로 734 (천호동)
강동구,길동,병원,강동한방병원,35,서울특별시 강동구 양재대로 1556 (길동)
강동구,천호동,병원,아이엠치과병원,0,"서울특별시 강동구 올림픽로 664, 4층 (천호동, 대우 한강 베네시티)"
강동구,성내동,병원,조은마디병원,52,서울특별시 강동구 천호대로170길 19 (성내동)
강서구,내발산동,병원,서울스타병원,57,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)"
동대문구,제기동,병원,서울나은병원,72,서울특별시 동대문구 왕산로 137 (제기동)
동대문구,장안동,병원,영동병원,80,서울특별시 동대문구 한천로 4 (장안동)
동대문구,답십리동,병원,효림요양병원,241,서울특별시 동대문구 천호대로 259-1 (답십리동)
동대문구,장안동,병원,린여성병원,60,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)"
동대문구,용두동,병원,날개병원,39,서울특별시 동대문구 무학로 193-1 (용두동)
동대문구,장안2동,병원,참튼튼병원,93,서울특별시 동대문구 답십리로 261 (장안동)
동대문구,장안동,병원,맑은수병원,146,서울특별시 동대문구 천호대로83길 44 (장안동)
동대문구,장안동,병원,햇살요양병원,208,"서울특별시 동대문구 장한로 152, 지하1~2층, 지상3 ~10층 (장안동)"
동대문구,전농동,병원,신우요양병원,116,"서울특별시 동대문구 한천로 207, 지하1,지상1,3~6층 (전농동)"
동대문구,신설동,병원,시카고치과병원,0,서울특별시 동대문구 천호대로 2 (신설동)
동대문구,장안4동,병원,코리아병원,98,서울특별시 동대문구 장한로 143 (장안동)
동대문구,전농동,병원,다일천사병원,30,"서울특별시 동대문구 서울시립대로 57, 천사병원 B1,1,2,3,6층 (전농동)"
동대문구,용두동,병원,서울특별시 동부병원,201,서울특별시 동대문구 무학로 124 (용두동)
노원구,상계동,병원,의료법인 행복나눔의료재단 사랑요양병원,190,"서울특별시 노원구 동일로243길 45 (상계동, 사랑요양병원)"
동대문구,답십리동,병원,하늘병원,77,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)"
노원구,월계동,병원,더조은요양병원,299,서울특별시 노원구 화랑로 323 (월계동)
노원구,공릉동,병원,강북연세병원,82,서울특별시 노원구 동일로 996 (공릉동)
노원구,상계동,병원,인제대학교 상계백병원,557,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)"
강동구,길동,병원,고은빛여성병원,55,서울특별시 강동구 천호대로 1151 (길동)
강동구,상일동,병원,연세미래엔미소치과병원,0,"서울특별시 강동구 상일로10길 36, 2층 202,203호 (상일동, 세종텔레콤지식산업센터)"
강동구,길동,병원,남기세병원,96,서울특별시 강동구 천호대로 1133 (길동)
강동구,천호동,병원,강동모커리한방병원,56,"서울특별시 강동구 양재대로 1517, 남해빌딩 2~5층 (천호동)"
강동구,성내동,병원,더셀채원병원,34,"서울특별시 강동구 성내로 66, 채원자연통합병원빌딩 (성내동)"
강동구,성내동,병원,청병원,80,"서울특별시 강동구 올림픽로 546, G.M.F.빌딩 (성내동)"
강동구,천호동,병원,올바른서울병원,91,"서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)"
강남구,삼성동,병원,지앤지병원,30,"서울특별시 강남구 영동대로 626, 2~10층 (삼성동, GNG병원빌딩)"
강남구,역삼동,병원,강남초이스정형외과병원,31,"서울특별시 강남구 테헤란로 337 (역삼동, 4~9층)"
강남구,삼성동,병원,소람한방병원,241,"서울특별시 강남구 봉은사로 458, 지하1층 ~ 9층 (삼성동, 덕림빌딩)"
강남구,수서동,병원,기쁨정원치과병원,0,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)"
노원구,공릉동,병원,방병원,67,"서울특별시 노원구 동일로 989, 2~9층 (공릉동)"
노원구,공릉1.3동,병원,태릉마이크로병원,74,서울특별시 노원구 동일로 987 (공릉동)
노원구,상계동,병원,메디아이여성병원,36,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)"
노원구,상계동,병원,선의요양병원,135,"서울특별시 노원구 동일로 1419, 9층~11층 (상계동)"
노원구,상계동,병원,강북예치과병원,0,"서울특별시 노원구 노해로81길 5-6, 노원스퀘어 5-7층 (상계동)"
노원구,공릉동,병원,태능성심요양병원,90,"서울특별시 노원구 동일로 987 (공릉동, 태릉성심종합병원)"
강남구,역삼동,병원,선한목자병원,38,"서울특별시 강남구 논현로 507 (역삼동, 성지하이츠3차빌딩 2층,3층일부)"
강남구,논현동,병원,석플란트치과병원,0,"서울특별시 강남구 도산대로 238, 2~5층, 7~11층, 13~14층 (논현동)"
강남구,대치동,병원,누네안과병원,50,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)"
강남구,삼성동,병원,마디병원,52,"서울특별시 강남구 삼성로 646, 마디빌딩, 지하1층~3층, 지상1층~9층 (삼성동)"
강남구,도곡동,병원,강남베드로병원,184,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)"
강남구,논현동,병원,나누리병원,107,서울특별시 강남구 언주로 731 (논현동)
강남구,역삼동,병원,케이에스병원,53,"서울특별시 강남구 선릉로 571 (역삼동, KS병원)"
강남구,청담동,병원,제일정형외과병원,130,"서울특별시 강남구 영동대로 726, 경일빌딩1~12층, 14층, 지하1~2층, 지하4~5층 (청담동)"
강남구,대치동,병원,연치과병원,0,"서울특별시 강남구 남부순환로 2941 (대치동, 2층 일부)"
광진구,자양동,병원,혜민병원,219,서울특별시 광진구 자양로 85 (자양동)
광진구,화양동,병원,건국대학교병원,844,서울특별시 광진구 능동로 120-1 (화양동)
광진구,중곡동,병원,국립정신건강센터,200,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)"
강남구,논현동,병원,담소유병원,30,"서울특별시 강남구 학동로 234, 담소유빌딩 (논현동)"
강남구,청담동,병원,청담병원,199,"서울특별시 강남구 삼성로147길 46 (청담동, 청담병원 지하1층, 1층일부, 2층~6층)"
강남구,청담동,병원,청담힐요양병원,144,"서울특별시 강남구 영동대로 713, 9~14층 (청담동)"
강남구,대치동,병원,강남위담한방병원,30,"서울특별시 강남구 삼성로 402, 지하2층일부, 2~7층 (대치동)"
강남구,논현동,병원,리봄한방병원,30,"서울특별시 강남구 학동로50길 7, 2~4층 5층일부층 (논현동)"
강남구,역삼동,병원,차의과학대학교 강남차병원,234,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)"
강남구,세곡동,병원,의료법인참예원의료재단강남구립행복요양병원,307,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)"
강남구,도곡동,병원,연세대학교의과대학 강남세브란스병원,824,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)"
강남구,대치동,병원,이솝한방병원,30,"서울특별시 강남구 남부순환로 2909, 여천빌딩 503~505호, 508~509호, 604호호 (대치동)"
강남구,도곡동,병원,강남제이에스병원,40,"서울특별시 강남구 도곡로 122, 지후빌딩 (도곡동)"
광진구,화양동,병원,동부참사랑요양병원,147,서울특별시 광진구 동일로 154 (화양동)
강남구,신사동,병원,토마스병원,31,"서울특별시 강남구 언주로174길 15 (신사동, 구정빌딩)"
강남구,신사동,병원,미병원,30,"서울특별시 강남구 논현로168길 35, 지하2층, 3~5층 (신사동)"
강남구,대치동,병원,가우디치과병원,0,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)"
강남구,논현동,병원,자생한방병원,171,서울특별시 강남구 강남대로 536 (논현동)
강남구,신사동,병원,호산여성병원,41,"서울특별시 강남구 언주로 871 (신사동, 호산병원)"
강남구,대치동,병원,재단법인대한스포츠의학재단강남나무병원,60,"서울특별시 강남구 영동대로 225, 1층일부, 2~3층,6~8층 (대치동)"
강남구,일원동,병원,삼성서울병원,1997,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)"
강남구,삼성1동,병원,(의)가산의료재단 광동한방병원,51,서울특별시 강남구 봉은사로 612 (삼성동)
강남구,논현동,병원,아이디병원,30,"서울특별시 강남구 도산대로 142, B3~5층,7~16층 (논현동, 도산대로12길13(B1층,1층일부,2~3층))"
강남구,대치동,병원,재단법인위담 위담한방병원,50,"서울특별시 강남구 역삼로 430 (대치동, 2층,3층,5층,6층)"
강남구,대치동,병원,광혜병원,79,"서울특별시 강남구 영동대로86길 9 (대치동, 지하1~2층,2~7층)"
강남구,논현동,병원,비에비스나무병원,42,"서울특별시 강남구 논현로 627, 지하2층,지상1층~9층, 지상11층 (논현동)"
강남구,개포동,병원,큰사랑요양병원,99,"서울특별시 강남구 논현로2길 30 (개포동, 지하2층~1층, 지상1층~6층)"
강남구,삼성동,병원,트리니티요양병원,176,"서울특별시 강남구 봉은사로 535 (삼성동, 트리니티재활병원빌딩, 지하1,2층, 지상1~11층)"
강남구,개포동,병원,소우주한방병원,30,서울특별시 강남구 논현로16길 15 (개포동)
강남구,도곡동,병원,메디움강남요양병원,58,서울특별시 강남구 강남대로 276 (도곡동)
강남구,논현동,병원,굿라이프치과병원,0,"서울특별시 강남구 강남대로 476, 4층 (논현동, urbanhive)"
